"Label (Grouping)","Michigan!!Households!!Estimate","Michigan!!Households!!Margin of Error","Michigan!!Families!!Estimate","Michigan!!Families!!Margin of Error","Michigan!!Married-couple families!!Estimate","Michigan!!Married-couple families!!Margin of Error","Michigan!!Nonfamily households!!Estimate","Michigan!!Nonfamily households!!Margin of Error","Ohio!!Households!!Estimate","Ohio!!Households!!Margin of Error","Ohio!!Families!!Estimate","Ohio!!Families!!Margin of Error","Ohio!!Married-couple families!!Estimate","Ohio!!Married-couple families!!Margin of Error","Ohio!!Nonfamily households!!Estimate","Ohio!!Nonfamily households!!Margin of Error"
"Total","4,009,253","±7,688","2,527,912","±8,649","1,864,083","±10,647","1,481,341","±7,478","4,789,408","±9,328","2,961,404","±9,132","2,154,997","±11,839","1,828,004","±7,410"
"    Less than $10,000","5.0%","±0.1","3.0%","±0.1","1.2%","±0.1","9.3%","±0.2","5.2%","±0.1","3.3%","±0.1","1.0%","±0.1","9.2%","±0.2"
"    $10,000 to $14,999","4.1%","±0.1","2.0%","±0.1","0.8%","±0.1","8.2%","±0.2","4.4%","±0.1","2.1%","±0.1","0.8%","±0.1","8.4%","±0.2"
"    $15,000 to $24,999","7.5%","±0.1","4.4%","±0.1","2.4%","±0.1","13.4%","±0.2","7.9%","±0.1","4.5%","±0.1","2.2%","±0.1","13.8%","±0.2"
"    $25,000 to $34,999","8.2%","±0.1","5.8%","±0.1","3.8%","±0.1","12.8%","±0.2","8.3%","±0.1","5.8%","±0.1","3.5%","±0.1","12.9%","±0.2"
"    $35,000 to $49,999","12.1%","±0.1","10.0%","±0.2","7.8%","±0.1","16.1%","±0.2","12.1%","±0.1","10.0%","±0.2","7.6%","±0.1","16.0%","±0.2"
"    $50,000 to $74,999","17.2%","±0.1","17.0%","±0.2","16.0%","±0.2","17.4%","±0.3","17.3%","±0.1","17.0%","±0.2","15.9%","±0.2","17.9%","±0.2"
"    $75,000 to $99,999","13.4%","±0.1","15.1%","±0.2","16.0%","±0.2","10.0%","±0.2","13.3%","±0.1","15.0%","±0.1","16.3%","±0.2","9.7%","±0.2"
"    $100,000 to $149,999","16.5%","±0.1","20.8%","±0.2","24.4%","±0.2","7.9%","±0.2","16.5%","±0.1","21.2%","±0.2","25.6%","±0.2","7.8%","±0.2"
"    $150,000 to $199,999","7.8%","±0.1","10.5%","±0.1","13.1%","±0.2","2.6%","±0.1","7.4%","±0.1","10.3%","±0.1","13.1%","±0.2","2.2%","±0.1"
"    $200,000 or more","8.2%","±0.1","11.3%","±0.1","14.5%","±0.2","2.3%","±0.1","7.6%","±0.1","10.8%","±0.1","14.2%","±0.2","2.1%","±0.1"
"Median income (dollars)","68,505","±307","87,221","±374","103,399","±463","40,380","±255","66,990","±272","86,508","±371","104,441","±387","40,001","±243"
"Mean income (dollars)","92,835","±364","111,997","±501","129,340","±625","56,299","±426","90,958","±384","110,726","±552","130,015","±668","55,276","±450"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","36.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","36.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","34.1%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","33.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.3%","(X)"
