"Label (Grouping)","Michigan!!Households!!Estimate","Michigan!!Households!!Margin of Error","Michigan!!Families!!Estimate","Michigan!!Families!!Margin of Error","Michigan!!Married-couple families!!Estimate","Michigan!!Married-couple families!!Margin of Error","Michigan!!Nonfamily households!!Estimate","Michigan!!Nonfamily households!!Margin of Error","Ohio!!Households!!Estimate","Ohio!!Households!!Margin of Error","Ohio!!Families!!Estimate","Ohio!!Families!!Margin of Error","Ohio!!Married-couple families!!Estimate","Ohio!!Married-couple families!!Margin of Error","Ohio!!Nonfamily households!!Estimate","Ohio!!Nonfamily households!!Margin of Error"
"Total","3,841,148","±7,758","2,497,834","±7,539","1,834,569","±9,181","1,343,314","±5,497","4,585,084","±10,087","2,937,598","±10,365","2,143,896","±11,776","1,647,486","±6,611"
"Less than $10,000","8.0%","±0.1","5.2%","±0.1","1.7%","±0.1","14.8%","±0.2","8.1%","±0.1","5.2%","±0.1","1.5%","±0.1","14.6%","±0.2"
"$10,000 to $14,999","5.5%","±0.1","3.3%","±0.1","1.4%","±0.1","10.0%","±0.2","5.6%","±0.1","3.2%","±0.1","1.3%","±0.1","10.3%","±0.2"
"$15,000 to $24,999","11.5%","±0.1","8.0%","±0.1","4.9%","±0.1","18.5%","±0.2","11.5%","±0.1","7.7%","±0.1","4.5%","±0.1","18.9%","±0.2"
"$25,000 to $34,999","10.9%","±0.1","9.0%","±0.1","7.2%","±0.1","14.7%","±0.2","10.9%","±0.1","8.9%","±0.1","7.0%","±0.1","14.7%","±0.2"
"$35,000 to $49,999","14.4%","±0.1","13.8%","±0.1","13.0%","±0.1","15.4%","±0.2","14.3%","±0.1","13.7%","±0.1","12.7%","±0.1","15.3%","±0.2"
"$50,000 to $74,999","18.4%","±0.1","20.2%","±0.1","21.7%","±0.1","14.4%","±0.2","18.5%","±0.1","20.4%","±0.1","21.9%","±0.2","14.3%","±0.2"
"$75,000 to $99,999","11.9%","±0.1","14.6%","±0.1","17.2%","±0.1","6.2%","±0.1","12.0%","±0.1","14.9%","±0.1","17.8%","±0.2","6.1%","±0.1"
"$100,000 to $149,999","11.8%","±0.1","15.6%","±0.2","19.6%","±0.2","4.1%","±0.1","11.7%","±0.1","15.7%","±0.1","20.0%","±0.2","3.9%","±0.1"
"$150,000 to $199,999","4.0%","±0.1","5.5%","±0.1","7.2%","±0.1","1.0%","±0.1","3.9%","±0.1","5.4%","±0.1","7.1%","±0.1","1.0%","±0.1"
"$200,000 or more","3.5%","±0.1","4.7%","±0.1","6.2%","±0.1","1.0%","±0.1","3.4%","±0.1","4.7%","±0.1","6.2%","±0.1","0.9%","±0.1"
"Median income (dollars)","49,576","±186","62,247","±263","75,133","±257","29,391","±184","49,429","±179","62,817","±269","76,253","±278","29,023","±217"
"Mean income (dollars)","66,760","±204","79,572","±278","93,171","±317","40,543","±256","66,409","±231","79,891","±310","94,175","±367","39,978","±261"
"PERCENT IMPUTED","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","29.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","28.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","30.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","28.7%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","28.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.6%","(X)"
