"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Percent!!Estimate","Michigan!!Percent!!Margin of Error","Michigan!!Male!!Estimate","Michigan!!Male!!Margin of Error","Michigan!!Percent Male!!Estimate","Michigan!!Percent Male!!Margin of Error","Michigan!!Female!!Estimate","Michigan!!Female!!Margin of Error","Michigan!!Percent Female!!Estimate","Michigan!!Percent Female!!Margin of Error","Ohio!!Total!!Estimate","Ohio!!Total!!Margin of Error","Ohio!!Percent!!Estimate","Ohio!!Percent!!Margin of Error","Ohio!!Male!!Estimate","Ohio!!Male!!Margin of Error","Ohio!!Percent Male!!Estimate","Ohio!!Percent Male!!Margin of Error","Ohio!!Female!!Estimate","Ohio!!Female!!Margin of Error","Ohio!!Percent Female!!Estimate","Ohio!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","973,907","±971","(X)","(X)","497,644","±736","(X)","(X)","476,263","±575","(X)","(X)","1,074,610","±1,243","(X)","(X)","546,922","±767","(X)","(X)","527,688","±756","(X)","(X)"
"        Less than high school graduate","122,813","±2,357","12.6%","±0.2","72,791","±1,711","14.6%","±0.3","50,022","±1,461","10.5%","±0.3","140,287","±2,542","13.1%","±0.2","78,812","±1,847","14.4%","±0.3","61,475","±1,657","11.6%","±0.3"
"        High school graduate (includes equivalency)","296,389","±3,537","30.4%","±0.4","164,547","±2,115","33.1%","±0.4","131,842","±2,715","27.7%","±0.6","365,047","±3,282","34.0%","±0.3","206,066","±2,521","37.7%","±0.5","158,981","±2,144","30.1%","±0.4"
"        Some college or associate's degree","450,385","±3,297","46.2%","±0.3","215,224","±2,362","43.2%","±0.5","235,161","±2,422","49.4%","±0.5","457,960","±4,124","42.6%","±0.4","216,499","±3,241","39.6%","±0.6","241,461","±2,571","45.8%","±0.5"
"        Bachelor's degree or higher","104,320","±2,199","10.7%","±0.2","45,082","±1,371","9.1%","±0.3","59,238","±1,514","12.4%","±0.3","111,316","±2,371","10.4%","±0.2","45,545","±1,679","8.3%","±0.3","65,771","±1,705","12.5%","±0.3"
"    Population 25 years and over","6,813,480","±1,034","(X)","(X)","3,293,006","±893","(X)","(X)","3,520,474","±719","(X)","(X)","7,975,777","±1,460","(X)","(X)","3,832,156","±1,168","(X)","(X)","4,143,621","±999","(X)","(X)"
"        Less than 9th grade","194,755","±2,996","2.9%","±0.1","98,589","±1,907","3.0%","±0.1","96,166","±2,017","2.7%","±0.1","221,376","±3,646","2.8%","±0.1","110,747","±2,142","2.9%","±0.1","110,629","±2,419","2.7%","±0.1"
"        9th to 12th grade, no diploma","431,435","±4,744","6.3%","±0.1","225,139","±2,918","6.8%","±0.1","206,296","±3,049","5.9%","±0.1","546,002","±5,300","6.8%","±0.1","278,328","±3,350","7.3%","±0.1","267,674","±3,899","6.5%","±0.1"
"        High school graduate (includes equivalency)","1,967,316","±10,388","28.9%","±0.2","982,688","±6,386","29.8%","±0.2","984,628","±6,338","28.0%","±0.2","2,634,997","±11,081","33.0%","±0.1","1,313,527","±6,726","34.3%","±0.2","1,321,470","±6,642","31.9%","±0.2"
