"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Percent!!Estimate","Michigan!!Percent!!Margin of Error","Michigan!!Male!!Estimate","Michigan!!Male!!Margin of Error","Michigan!!Percent Male!!Estimate","Michigan!!Percent Male!!Margin of Error","Michigan!!Female!!Estimate","Michigan!!Female!!Margin of Error","Michigan!!Percent Female!!Estimate","Michigan!!Percent Female!!Margin of Error","Ohio!!Total!!Estimate","Ohio!!Total!!Margin of Error","Ohio!!Percent!!Estimate","Ohio!!Percent!!Margin of Error","Ohio!!Male!!Estimate","Ohio!!Male!!Margin of Error","Ohio!!Percent Male!!Estimate","Ohio!!Percent Male!!Margin of Error","Ohio!!Female!!Estimate","Ohio!!Female!!Margin of Error","Ohio!!Percent Female!!Estimate","Ohio!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","958,470","±826","(X)","(X)","489,810","±619","(X)","(X)","468,660","±609","(X)","(X)","1,066,321","±1,080","(X)","(X)","542,762","±903","(X)","(X)","523,559","±767","(X)","(X)"
"        Less than high school graduate","118,843","±2,516","12.4%","±0.3","70,558","±1,873","14.4%","±0.4","48,285","±1,518","10.3%","±0.3","135,729","±2,833","12.7%","±0.3","77,050","±1,807","14.2%","±0.3","58,679","±1,917","11.2%","±0.4"
"        High school graduate (includes equivalency)","299,275","±3,475","31.2%","±0.4","165,105","±2,730","33.7%","±0.6","134,170","±2,476","28.6%","±0.5","370,168","±3,927","34.7%","±0.4","207,793","±2,870","38.3%","±0.5","162,375","±2,899","31.0%","±0.6"
"        Some college or associate's degree","431,109","±4,611","45.0%","±0.5","205,961","±3,391","42.0%","±0.7","225,148","±3,091","48.0%","±0.7","447,574","±4,460","42.0%","±0.4","211,297","±3,128","38.9%","±0.6","236,277","±3,154","45.1%","±0.6"
"        Bachelor's degree or higher","109,243","±2,634","11.4%","±0.3","48,186","±1,689","9.8%","±0.3","61,057","±1,821","13.0%","±0.4","112,850","±2,597","10.6%","±0.2","46,622","±1,503","8.6%","±0.3","66,228","±1,939","12.6%","±0.4"
"    Population 25 years and over","6,853,674","±796","(X)","(X)","3,314,909","±741","(X)","(X)","3,538,765","±725","(X)","(X)","8,014,966","±1,115","(X)","(X)","3,852,265","±1,290","(X)","(X)","4,162,701","±1,052","(X)","(X)"
"        Less than 9th grade","186,848","±3,237","2.7%","±0.1","95,367","±2,194","2.9%","±0.1","91,481","±2,040","2.6%","±0.1","217,670","±4,487","2.7%","±0.1","109,567","±3,027","2.8%","±0.1","108,103","±2,429","2.6%","±0.1"
"        9th to 12th grade, no diploma","409,465","±5,450","6.0%","±0.1","215,301","±3,552","6.5%","±0.1","194,164","±3,384","5.5%","±0.1","521,100","±5,895","6.5%","±0.1","267,476","±3,883","6.9%","±0.1","253,624","±4,101","6.1%","±0.1"
"        High school graduate (includes equivalency)","1,955,654","±10,537","28.5%","±0.2","982,549","±7,466","29.6%","±0.2","973,105","±5,497","27.5%","±0.2","2,629,870","±12,764","32.8%","±0.2","1,318,001","±7,464","34.2%","±0.2","1,311,869","±7,799","31.5%","±0.2"
"        Some college, no degree","1,587,649","±7,622","23.2%","±0.1","771,165","±5,328","23.3%","±0.2","816,484","±5,507","23.1%","±0.2","1,628,291","±9,037","20.3%","±0.1","785,607","±6,141","20.4%","±0.2","842,684","±6,554","20.2%","±0.2"
"        Associate's degree","658,927","±5,946","9.6%","±0.1","270,875","±3,816","8.2%","±0.1","388,052","±4,319","11.0%","±0.1","702,496","±6,557","8.8%","±0.1","283,379","±3,703","7.4%","±0.1","419,117","±4,961","10.1%","±0.1"
"        Bachelor's degree","1,251,117","±8,218","18.3%","±0.1","594,043","±5,106","17.9%","±0.2","657,074","±6,003","18.6%","±0.2","1,438,177","±10,071","17.9%","±0.1","683,669","±6,030","17.7%","±0.2","754,508","±6,262","18.1%","±0.1"
"        Graduate or professional degree","804,014","±7,226","11.7%","±0.1","385,609","±4,302","11.6%","±0.1","418,405","±4,874","11.8%","±0.1","877,362","±8,491","10.9%","±0.1","404,566","±5,500","10.5%","±0.1","472,796","±4,873","11.4%","±0.1"
"        High school graduate or higher","6,257,361","±6,131","91.3%","±0.1","3,004,241","±4,219","90.6%","±0.1","3,253,120","±3,839","91.9%","±0.1","7,276,196","±7,719","90.8%","±0.1","3,475,222","±4,968","90.2%","±0.1","3,800,974","±5,170","91.3%","±0.1"
"        Bachelor's degree or higher","2,055,131","±11,324","30.0%","±0.2","979,652","±6,525","29.6%","±0.2","1,075,479","±7,139","30.4%","±0.2","2,315,539","±14,677","28.9%","±0.2","1,088,235","±8,344","28.2%","±0.2","1,227,304","±8,221","29.5%","±0.2"
"    Population 25 to 34 years","1,288,625","±1,012","(X)","(X)","654,214","±735","(X)","(X)","634,411","±694","(X)","(X)","1,539,254","±1,353","(X)","(X)","776,255","±1,179","(X)","(X)","762,999","±971","(X)","(X)"
"        High school graduate or higher","1,194,288","±2,498","92.7%","±0.2","600,518","±1,705","91.8%","±0.2","593,770","±1,498","93.6%","±0.2","1,425,698","±2,722","92.6%","±0.2","712,195","±2,261","91.7%","±0.3","713,503","±1,788","93.5%","±0.2"
"        Bachelor's degree or higher","439,084","±5,510","34.1%","±0.4","203,489","±3,266","31.1%","±0.5","235,595","±3,387","37.1%","±0.5","520,865","±5,990","33.8%","±0.4","234,467","±3,820","30.2%","±0.5","286,398","±3,458","37.5%","±0.5"
"    Population 35 to 44 years","1,165,587","±1,045","(X)","(X)","579,320","±842","(X)","(X)","586,267","±576","(X)","(X)","1,395,833","±1,444","(X)","(X)","693,408","±1,071","(X)","(X)","702,425","±812","(X)","(X)"
"        High school graduate or higher","1,068,709","±2,288","91.7%","±0.2","525,449","±1,723","90.7%","±0.3","543,260","±1,347","92.7%","±0.2","1,284,800","±3,226","92.0%","±0.2","630,207","±2,117","90.9%","±0.3","654,593","±1,986","93.2%","±0.3"
"        Bachelor's degree or higher","405,852","±4,521","34.8%","±0.4","182,147","±2,583","31.4%","±0.4","223,705","±2,976","38.2%","±0.5","487,635","±5,502","34.9%","±0.4","217,384","±3,346","31.4%","±0.5","270,251","±3,184","38.5%","±0.5"
"    Population 45 to 64 years","2,686,621","±970","(X)","(X)","1,315,605","±864","(X)","(X)","1,371,016","±652","(X)","(X)","3,089,258","±1,505","(X)","(X)","1,508,836","±1,212","(X)","(X)","1,580,422","±984","(X)","(X)"
"        High school graduate or higher","2,475,333","±3,506","92.1%","±0.1","1,198,640","±2,520","91.1%","±0.2","1,276,693","±2,247","93.1%","±0.2","2,832,161","±4,369","91.7%","±0.1","1,368,705","±3,041","90.7%","±0.2","1,463,456","±2,888","92.6%","±0.2"
"        Bachelor's degree or higher","777,538","±5,770","28.9%","±0.2","367,847","±3,439","28.0%","±0.3","409,691","±3,674","29.9%","±0.3","849,887","±7,023","27.5%","±0.2","399,190","±4,274","26.5%","±0.3","450,697","±4,581","28.5%","±0.3"
"    Population 65 years and over","1,712,841","±552","(X)","(X)","765,770","±381","(X)","(X)","947,071","±396","(X)","(X)","1,990,621","±973","(X)","(X)","873,766","±657","(X)","(X)","1,116,855","±639","(X)","(X)"
"        High school graduate or higher","1,519,031","±2,737","88.7%","±0.2","679,634","±1,718","88.8%","±0.2","839,397","±2,091","88.6%","±0.2","1,733,537","±3,220","87.1%","±0.2","764,115","±1,977","87.5%","±0.2","969,422","±2,632","86.8%","±0.2"
"        Bachelor's degree or higher","432,657","±4,004","25.3%","±0.2","226,169","±2,727","29.5%","±0.4","206,488","±2,769","21.8%","±0.3","457,152","±4,129","23.0%","±0.2","237,194","±2,722","27.1%","±0.3","219,958","±2,853","19.7%","±0.3"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","5,495,821","±4,570","(X)","(X)","2,681,863","±2,737","(X)","(X)","2,813,958","±2,780","(X)","(X)","6,666,003","±2,977","(X)","(X)","3,218,203","±1,964","(X)","(X)","3,447,800","±2,007","(X)","(X)"
"        High school graduate or higher","5,083,869","±6,860","92.5%","±0.1","2,464,681","±4,308","91.9%","±0.1","2,619,188","±4,043","93.1%","±0.1","6,115,765","±6,381","91.7%","±0.1","2,935,571","±4,237","91.2%","±0.1","3,180,194","±4,511","92.2%","±0.1"
"        Bachelor's degree or higher","1,696,062","±10,412","30.9%","±0.2","820,165","±5,940","30.6%","±0.2","875,897","±6,296","31.1%","±0.2","1,981,894","±13,355","29.7%","±0.2","936,032","±7,877","29.1%","±0.2","1,045,862","±7,045","30.3%","±0.2"
"    White alone, not Hispanic or Latino","5,337,549","±2,951","(X)","(X)","2,602,271","±1,715","(X)","(X)","2,735,278","±2,247","(X)","(X)","6,530,806","±2,624","(X)","(X)","3,150,518","±1,575","(X)","(X)","3,380,288","±1,638","(X)","(X)"
"        High school graduate or higher","4,962,208","±5,728","93.0%","±0.1","2,405,384","±3,572","92.4%","±0.1","2,556,824","±3,602","93.5%","±0.1","6,009,536","±5,917","92.0%","±0.1","2,884,079","±3,877","91.5%","±0.1","3,125,457","±4,279","92.5%","±0.1"
