"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Percent!!Estimate","Michigan!!Percent!!Margin of Error","Michigan!!Male!!Estimate","Michigan!!Male!!Margin of Error","Michigan!!Percent Male!!Estimate","Michigan!!Percent Male!!Margin of Error","Michigan!!Female!!Estimate","Michigan!!Female!!Margin of Error","Michigan!!Percent Female!!Estimate","Michigan!!Percent Female!!Margin of Error","Ohio!!Total!!Estimate","Ohio!!Total!!Margin of Error","Ohio!!Percent!!Estimate","Ohio!!Percent!!Margin of Error","Ohio!!Male!!Estimate","Ohio!!Male!!Margin of Error","Ohio!!Percent Male!!Estimate","Ohio!!Percent Male!!Margin of Error","Ohio!!Female!!Estimate","Ohio!!Female!!Margin of Error","Ohio!!Percent Female!!Estimate","Ohio!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","970,018","±882","(X)","(X)","496,335","±695","(X)","(X)","473,683","±588","(X)","(X)","1,083,657","±1,203","(X)","(X)","553,525","±862","(X)","(X)","530,132","±938","(X)","(X)"
"        Less than high school graduate","115,921","±2,922","12.0%","±0.3","69,510","±2,174","14.0%","±0.4","46,411","±1,753","9.8%","±0.4","135,889","±2,615","12.5%","±0.2","77,150","±2,125","13.9%","±0.4","58,739","±1,819","11.1%","±0.3"
"        High school graduate (includes equivalency)","323,186","±4,339","33.3%","±0.5","179,154","±2,957","36.1%","±0.6","144,032","±2,760","30.4%","±0.6","398,472","±4,696","36.8%","±0.4","221,408","±3,296","40.0%","±0.6","177,064","±3,029","33.4%","±0.6"
"        Some college or associate's degree","414,336","±4,940","42.7%","±0.5","195,762","±3,217","39.4%","±0.6","218,574","±3,254","46.1%","±0.7","425,999","±4,700","39.3%","±0.4","203,009","±3,196","36.7%","±0.6","222,990","±3,274","42.1%","±0.6"
"        Bachelor's degree or higher","116,575","±3,331","12.0%","±0.3","51,909","±2,107","10.5%","±0.4","64,666","±2,266","13.7%","±0.5","123,297","±3,055","11.4%","±0.3","51,958","±1,770","9.4%","±0.3","71,339","±2,149","13.5%","±0.4"
"    Population 25 years and over","6,938,439","±959","(X)","(X)","3,394,157","±720","(X)","(X)","3,544,282","±761","(X)","(X)","8,097,704","±1,259","(X)","(X)","3,933,599","±1,150","(X)","(X)","4,164,105","±1,065","(X)","(X)"
"        Less than 9th grade","180,530","±3,255","2.6%","±0.1","91,711","±2,439","2.7%","±0.1","88,819","±2,143","2.5%","±0.1","215,546","±3,754","2.7%","±0.1","110,790","±2,520","2.8%","±0.1","104,756","±2,498","2.5%","±0.1"
"        9th to 12th grade, no diploma","391,872","±5,275","5.6%","±0.1","210,460","±3,637","6.2%","±0.1","181,412","±3,335","5.1%","±0.1","480,858","±5,847","5.9%","±0.1","250,134","±4,002","6.4%","±0.1","230,724","±4,070","5.5%","±0.1"
"        High school graduate (includes equivalency)","1,970,618","±11,210","28.4%","±0.2","1,006,056","±6,056","29.6%","±0.2","964,562","±7,394","27.2%","±0.2","2,625,857","±14,838","32.4%","±0.2","1,339,721","±9,058","34.1%","±0.2","1,286,136","±8,446","30.9%","±0.2"
"        Some college, no degree","1,561,318","±8,253","22.5%","±0.1","769,306","±4,836","22.7%","±0.1","792,012","±5,354","22.3%","±0.2","1,600,739","±9,012","19.8%","±0.1","778,954","±6,008","19.8%","±0.2","821,785","±6,570","19.7%","±0.2"
"        Associate's degree","673,750","±6,692","9.7%","±0.1","283,062","±3,737","8.3%","±0.1","390,688","±4,779","11.0%","±0.1","715,379","±6,684","8.8%","±0.1","293,660","±4,128","7.5%","±0.1","421,719","±4,895","10.1%","±0.1"
"        Bachelor's degree","1,311,608","±8,062","18.9%","±0.1","627,307","±4,782","18.5%","±0.1","684,301","±5,266","19.3%","±0.1","1,515,763","±10,891","18.7%","±0.1","726,205","±6,451","18.5%","±0.2","789,558","±6,815","19.0%","±0.2"
"        Graduate or professional degree","848,743","±8,834","12.2%","±0.1","406,255","±4,929","12.0%","±0.1","442,488","±5,207","12.5%","±0.1","943,562","±9,978","11.7%","±0.1","434,135","±5,798","11.0%","±0.1","509,427","±6,412","12.2%","±0.2"
"        High school graduate or higher","6,366,037","±6,313","91.8%","±0.1","3,091,986","±4,407","91.1%","±0.1","3,274,051","±3,817","92.4%","±0.1","7,401,300","±7,673","91.4%","±0.1","3,572,675","±5,005","90.8%","±0.1","3,828,625","±5,119","91.9%","±0.1"
"        Bachelor's degree or higher","2,160,351","±13,286","31.1%","±0.2","1,033,562","±7,068","30.5%","±0.2","1,126,789","±7,635","31.8%","±0.2","2,459,325","±17,225","30.4%","±0.2","1,160,340","±9,648","29.5%","±0.2","1,298,985","±9,366","31.2%","±0.2"
"    Population 25 to 34 years","1,307,008","±987","(X)","(X)","668,527","±800","(X)","(X)","638,481","±639","(X)","(X)","1,544,773","±1,614","(X)","(X)","782,436","±1,223","(X)","(X)","762,337","±952","(X)","(X)"
"        High school graduate or higher","1,215,346","±2,507","93.0%","±0.2","616,746","±1,799","92.3%","±0.2","598,600","±1,836","93.8%","±0.3","1,437,078","±3,562","93.0%","±0.2","720,933","±2,593","92.1%","±0.3","716,145","±1,901","93.9%","±0.2"
"        Bachelor's degree or higher","456,629","±5,053","34.9%","±0.4","211,766","±2,864","31.7%","±0.4","244,863","±3,402","38.4%","±0.5","540,795","±6,810","35.0%","±0.4","243,977","±3,815","31.2%","±0.5","296,818","±4,041","38.9%","±0.5"
"    Population 35 to 44 years","1,196,758","±1,021","(X)","(X)","603,815","±858","(X)","(X)","592,943","±624","(X)","(X)","1,439,860","±1,426","(X)","(X)","724,461","±997","(X)","(X)","715,399","±1,039","(X)","(X)"
"        High school graduate or higher","1,098,884","±2,915","91.8%","±0.2","548,559","±2,242","90.8%","±0.3","550,325","±1,757","92.8%","±0.3","1,328,990","±3,070","92.3%","±0.2","661,098","±2,136","91.3%","±0.3","667,892","±1,879","93.4%","±0.2"
"        Bachelor's degree or higher","433,137","±5,106","36.2%","±0.4","198,731","±2,913","32.9%","±0.5","234,406","±3,073","39.5%","±0.5","527,764","±5,990","36.7%","±0.4","237,714","±3,538","32.8%","±0.5","290,050","±3,678","40.5%","±0.5"
"    Population 45 to 64 years","2,647,848","±1,137","(X)","(X)","1,315,999","±892","(X)","(X)","1,331,849","±625","(X)","(X)","3,044,509","±1,728","(X)","(X)","1,509,845","±1,366","(X)","(X)","1,534,664","±1,125","(X)","(X)"
"        High school graduate or higher","2,442,300","±3,516","92.2%","±0.1","1,200,946","±2,650","91.3%","±0.2","1,241,354","±2,083","93.2%","±0.2","2,799,175","±5,192","91.9%","±0.2","1,374,723","±3,294","91.1%","±0.2","1,424,452","±3,250","92.8%","±0.2"
"        Bachelor's degree or higher","801,224","±5,617","30.3%","±0.2","380,611","±3,582","28.9%","±0.3","420,613","±3,488","31.6%","±0.3","884,110","±7,793","29.0%","±0.3","418,318","±5,157","27.7%","±0.3","465,792","±4,084","30.4%","±0.3"
"    Population 65 years and over","1,786,825","±652","(X)","(X)","805,816","±425","(X)","(X)","981,009","±459","(X)","(X)","2,068,562","±901","(X)","(X)","916,857","±652","(X)","(X)","1,151,705","±623","(X)","(X)"
"        High school graduate or higher","1,609,507","±3,385","90.1%","±0.2","725,735","±2,374","90.1%","±0.3","883,772","±2,461","90.1%","±0.2","1,836,057","±3,552","88.8%","±0.2","815,921","±2,023","89.0%","±0.2","1,020,136","±2,649","88.6%","±0.2"
"        Bachelor's degree or higher","469,361","±4,788","26.3%","±0.3","242,454","±2,473","30.1%","±0.3","226,907","±3,342","23.1%","±0.3","506,656","±5,121","24.5%","±0.2","260,331","±3,022","28.4%","±0.3","246,325","±3,505","21.4%","±0.3"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","5,451,094","±4,272","(X)","(X)","2,688,315","±2,088","(X)","(X)","2,762,779","±2,706","(X)","(X)","6,615,944","±3,334","(X)","(X)","3,227,701","±2,428","(X)","(X)","3,388,243","±1,772","(X)","(X)"
"        High school graduate or higher","5,073,031","±6,743","93.1%","±0.1","2,486,333","±3,690","92.5%","±0.1","2,586,698","±4,295","93.6%","±0.1","6,121,917","±7,017","92.5%","±0.1","2,969,257","±4,226","92.0%","±0.1","3,152,660","±4,469","93.0%","±0.1"
