"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Percent!!Estimate","Michigan!!Percent!!Margin of Error","Michigan!!Male!!Estimate","Michigan!!Male!!Margin of Error","Michigan!!Percent Male!!Estimate","Michigan!!Percent Male!!Margin of Error","Michigan!!Female!!Estimate","Michigan!!Female!!Margin of Error","Michigan!!Percent Female!!Estimate","Michigan!!Percent Female!!Margin of Error","Ohio!!Total!!Estimate","Ohio!!Total!!Margin of Error","Ohio!!Percent!!Estimate","Ohio!!Percent!!Margin of Error","Ohio!!Male!!Estimate","Ohio!!Male!!Margin of Error","Ohio!!Percent Male!!Estimate","Ohio!!Percent Male!!Margin of Error","Ohio!!Female!!Estimate","Ohio!!Female!!Margin of Error","Ohio!!Percent Female!!Estimate","Ohio!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","997,075","±899","(X)","(X)","509,325","±698","(X)","(X)","487,750","±535","(X)","(X)","1,094,438","±1,052","(X)","(X)","556,760","±762","(X)","(X)","537,678","±712","(X)","(X)"
"        Less than high school graduate","129,546","±2,395","13.0%","±0.2","77,177","±1,607","15.2%","±0.3","52,369","±1,549","10.7%","±0.3","149,521","±2,769","13.7%","±0.3","84,618","±1,986","15.2%","±0.4","64,903","±1,638","12.1%","±0.3"
"        High school graduate (includes equivalency)","288,593","±3,370","28.9%","±0.3","161,044","±2,566","31.6%","±0.5","127,549","±2,063","26.2%","±0.4","355,365","±3,522","32.5%","±0.3","199,786","±3,085","35.9%","±0.6","155,579","±2,712","28.9%","±0.5"
"        Some college or associate's degree","480,248","±4,310","48.2%","±0.4","227,349","±2,937","44.6%","±0.6","252,899","±2,643","51.9%","±0.5","480,628","±2,976","43.9%","±0.3","227,448","±2,516","40.9%","±0.4","253,180","±2,545","47.1%","±0.5"
"        Bachelor's degree or higher","98,688","±2,391","9.9%","±0.2","43,755","±1,582","8.6%","±0.3","54,933","±1,505","11.3%","±0.3","108,924","±2,549","10.0%","±0.2","44,908","±1,398","8.1%","±0.3","64,016","±1,995","11.9%","±0.4"
"    Population 25 years and over","6,719,972","±969","(X)","(X)","3,241,533","±785","(X)","(X)","3,478,439","±635","(X)","(X)","7,888,150","±1,146","(X)","(X)","3,785,001","±1,020","(X)","(X)","4,103,149","±869","(X)","(X)"
"        Less than 9th grade","204,526","±2,910","3.0%","±0.1","103,171","±1,939","3.2%","±0.1","101,355","±1,893","2.9%","±0.1","228,438","±3,767","2.9%","±0.1","115,427","±2,173","3.0%","±0.1","113,011","±2,388","2.8%","±0.1"
"        9th to 12th grade, no diploma","452,157","±4,576","6.7%","±0.1","237,008","±2,709","7.3%","±0.1","215,149","±2,895","6.2%","±0.1","577,205","±5,724","7.3%","±0.1","292,122","±3,598","7.7%","±0.1","285,083","±3,535","6.9%","±0.1"
"        High school graduate (includes equivalency)","1,966,110","±10,462","29.3%","±0.2","971,338","±6,605","30.0%","±0.2","994,772","±6,157","28.6%","±0.2","2,646,608","±10,630","33.6%","±0.1","1,304,801","±6,121","34.5%","±0.2","1,341,807","±7,144","32.7%","±0.2"
"        Some college, no degree","1,588,068","±5,737","23.6%","±0.1","765,797","±3,925","23.6%","±0.1","822,271","±4,070","23.6%","±0.1","1,614,614","±7,664","20.5%","±0.1","776,276","±4,843","20.5%","±0.1","838,338","±5,393","20.4%","±0.1"
"        Associate's degree","622,070","±4,870","9.3%","±0.1","258,247","±3,027","8.0%","±0.1","363,823","±3,449","10.5%","±0.1","672,658","±6,078","8.5%","±0.1","268,861","±3,963","7.1%","±0.1","403,797","±4,853","9.8%","±0.1"
"        Bachelor's degree","1,147,842","±7,965","17.1%","±0.1","548,994","±4,842","16.9%","±0.1","598,848","±4,600","17.2%","±0.1","1,341,204","±8,196","17.0%","±0.1","644,321","±5,279","17.0%","±0.1","696,883","±5,167","17.0%","±0.1"
"        Graduate or professional degree","739,199","±6,591","11.0%","±0.1","356,978","±3,803","11.0%","±0.1","382,221","±4,034","11.0%","±0.1","807,423","±8,547","10.2%","±0.1","383,193","±4,603","10.1%","±0.1","424,230","±5,240","10.3%","±0.1"
"        Percent high school graduate or higher","(X)","(X)","90.2%","±0.1","(X)","(X)","89.5%","±0.1","(X)","(X)","90.9%","±0.1","(X)","(X)","89.8%","±0.1","(X)","(X)","89.2%","±0.1","(X)","(X)","90.3%","±0.1"
"        Percent bachelor's degree or higher","(X)","(X)","28.1%","±0.2","(X)","(X)","27.9%","±0.2","(X)","(X)","28.2%","±0.2","(X)","(X)","27.2%","±0.2","(X)","(X)","27.1%","±0.2","(X)","(X)","27.3%","±0.2"
"    Population 25 to 34 years","1,219,595","±792","(X)","(X)","615,080","±559","(X)","(X)","604,515","±570","(X)","(X)","1,482,711","±1,236","(X)","(X)","744,316","±1,007","(X)","(X)","738,395","±738","(X)","(X)"
"        High school graduate or higher","1,115,346","±2,315","91.5%","±0.2","554,945","±1,557","90.2%","±0.3","560,401","±1,482","92.7%","±0.2","1,358,093","±3,122","91.6%","±0.2","674,027","±1,951","90.6%","±0.2","684,066","±1,949","92.6%","±0.2"
"        Bachelor's degree or higher","391,382","±3,884","32.1%","±0.3","178,714","±2,183","29.1%","±0.4","212,668","±2,661","35.2%","±0.4","485,411","±5,301","32.7%","±0.4","218,497","±2,718","29.4%","±0.4","266,914","±3,424","36.1%","±0.5"
"    Population 35 to 44 years","1,176,764","±809","(X)","(X)","583,537","±685","(X)","(X)","593,227","±499","(X)","(X)","1,397,632","±1,228","(X)","(X)","694,461","±904","(X)","(X)","703,171","±692","(X)","(X)"
"        High school graduate or higher","1,076,141","±2,139","91.4%","±0.2","527,818","±1,587","90.5%","±0.2","548,323","±1,289","92.4%","±0.2","1,281,495","±2,782","91.7%","±0.2","627,634","±1,988","90.4%","±0.3","653,861","±1,535","93.0%","±0.2"
"        Bachelor's degree or higher","386,222","±4,755","32.8%","±0.4","172,925","±2,409","29.6%","±0.4","213,297","±2,946","36.0%","±0.5","452,424","±5,156","32.4%","±0.4","202,935","±2,668","29.2%","±0.4","249,489","±3,319","35.5%","±0.5"
"    Population 45 to 64 years","2,748,380","±844","(X)","(X)","1,345,094","±695","(X)","(X)","1,403,286","±590","(X)","(X)","3,163,165","±1,564","(X)","(X)","1,544,699","±1,048","(X)","(X)","1,618,466","±958","(X)","(X)"
"        High school graduate or higher","2,520,241","±3,130","91.7%","±0.1","1,218,869","±2,171","90.6%","±0.2","1,301,372","±1,970","92.7%","±0.1","2,886,641","±4,610","91.3%","±0.1","1,397,665","±2,857","90.5%","±0.2","1,488,976","±2,731","92.0%","±0.1"
"        Bachelor's degree or higher","745,299","±4,787","27.1%","±0.2","359,404","±2,949","26.7%","±0.2","385,895","±3,063","27.5%","±0.2","828,510","±5,840","26.2%","±0.2","401,638","±3,587","26.0%","±0.2","426,872","±3,730","26.4%","±0.2"
