"Label (Grouping)","Michigan!!Households!!Estimate","Michigan!!Households!!Margin of Error","Michigan!!Families!!Estimate","Michigan!!Families!!Margin of Error","Michigan!!Married-couple families!!Estimate","Michigan!!Married-couple families!!Margin of Error","Michigan!!Nonfamily households!!Estimate","Michigan!!Nonfamily households!!Margin of Error","Ohio!!Households!!Estimate","Ohio!!Households!!Margin of Error","Ohio!!Families!!Estimate","Ohio!!Families!!Margin of Error","Ohio!!Married-couple families!!Estimate","Ohio!!Married-couple families!!Margin of Error","Ohio!!Nonfamily households!!Estimate","Ohio!!Nonfamily households!!Margin of Error"
"Total","3,976,729","±8,287","2,522,202","±8,166","1,861,214","±10,099","1,454,527","±6,439","4,754,161","±9,064","2,964,953","±9,781","2,154,854","±12,565","1,789,208","±8,355"
"    Less than $10,000","5.9%","±0.1","3.4%","±0.1","1.2%","±0.1","11.2%","±0.2","6.2%","±0.1","3.7%","±0.1","1.1%","±0.1","11.4%","±0.2"
"    $10,000 to $14,999","4.0%","±0.1","2.1%","±0.1","0.9%","±0.1","7.7%","±0.2","4.2%","±0.1","2.2%","±0.1","0.9%","±0.1","7.8%","±0.2"
"    $15,000 to $24,999","8.4%","±0.1","5.1%","±0.1","2.8%","±0.1","14.7%","±0.2","8.7%","±0.1","5.2%","±0.1","2.5%","±0.1","15.0%","±0.2"
"    $25,000 to $34,999","9.0%","±0.1","6.7%","±0.1","4.4%","±0.1","13.7%","±0.2","9.1%","±0.1","6.7%","±0.1","4.3%","±0.1","13.6%","±0.2"
"    $35,000 to $49,999","12.7%","±0.1","10.9%","±0.2","9.1%","±0.2","16.0%","±0.2","12.7%","±0.1","11.0%","±0.2","8.7%","±0.1","16.0%","±0.2"
"    $50,000 to $74,999","17.9%","±0.1","18.2%","±0.1","17.8%","±0.2","17.0%","±0.2","18.0%","±0.1","18.2%","±0.1","17.8%","±0.2","17.4%","±0.3"
"    $75,000 to $99,999","13.2%","±0.1","15.3%","±0.2","16.8%","±0.2","8.9%","±0.2","13.2%","±0.1","15.5%","±0.1","17.3%","±0.2","8.6%","±0.2"
"    $100,000 to $149,999","15.6%","±0.1","20.0%","±0.2","23.8%","±0.2","6.8%","±0.2","15.5%","±0.1","20.1%","±0.2","24.8%","±0.2","6.6%","±0.2"
"    $150,000 to $199,999","6.7%","±0.1","9.1%","±0.1","11.5%","±0.2","2.1%","±0.1","6.3%","±0.1","8.7%","±0.1","11.2%","±0.2","1.8%","±0.1"
"    $200,000 or more","6.6%","±0.1","9.2%","±0.1","11.8%","±0.2","1.8%","±0.1","6.2%","±0.1","8.7%","±0.1","11.4%","±0.1","1.7%","±0.1"
"Median income (dollars)","63,202","±242","80,365","±421","95,275","±417","37,170","±230","61,938","±252","79,470","±354","95,940","±349","36,811","±262"
"Mean income (dollars)","85,727","±336","103,151","±519","119,238","±550","51,952","±439","83,820","±335","101,540","±496","119,295","±553","51,012","±411"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","35.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","32.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","36.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.7%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","32.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.2%","(X)"
