"Label (Grouping)","Michigan!!Households!!Estimate","Michigan!!Households!!Margin of Error","Michigan!!Families!!Estimate","Michigan!!Families!!Margin of Error","Michigan!!Married-couple families!!Estimate","Michigan!!Married-couple families!!Margin of Error","Michigan!!Nonfamily households!!Estimate","Michigan!!Nonfamily households!!Margin of Error","Ohio!!Households!!Estimate","Ohio!!Households!!Margin of Error","Ohio!!Families!!Estimate","Ohio!!Families!!Margin of Error","Ohio!!Married-couple families!!Estimate","Ohio!!Married-couple families!!Margin of Error","Ohio!!Nonfamily households!!Estimate","Ohio!!Nonfamily households!!Margin of Error"
"Total","3,909,509","±9,207","2,514,380","±7,888","1,851,321","±9,502","1,395,129","±5,365","4,654,075","±10,201","2,953,760","±9,256","2,145,423","±11,965","1,700,315","±6,649"
"    Less than $10,000","6.9%","±0.1","4.2%","±0.1","1.5%","±0.1","13.0%","±0.2","7.2%","±0.1","4.4%","±0.1","1.3%","±0.1","13.2%","±0.2"
"    $10,000 to $14,999","4.7%","±0.1","2.7%","±0.1","1.2%","±0.1","8.8%","±0.1","4.9%","±0.1","2.7%","±0.1","1.1%","±0.1","9.0%","±0.1"
"    $15,000 to $24,999","10.1%","±0.1","6.7%","±0.1","3.8%","±0.1","17.1%","±0.2","10.2%","±0.1","6.5%","±0.1","3.4%","±0.1","17.3%","±0.2"
"    $25,000 to $34,999","10.1%","±0.1","8.0%","±0.1","5.9%","±0.1","14.3%","±0.2","10.1%","±0.1","8.0%","±0.1","5.7%","±0.1","14.3%","±0.2"
"    $35,000 to $49,999","13.8%","±0.1","12.7%","±0.1","11.4%","±0.1","15.9%","±0.2","13.7%","±0.1","12.6%","±0.1","11.2%","±0.1","15.7%","±0.2"
"    $50,000 to $74,999","18.4%","±0.1","19.6%","±0.1","20.1%","±0.1","15.6%","±0.2","18.3%","±0.1","19.5%","±0.1","20.2%","±0.2","15.7%","±0.2"
"    $75,000 to $99,999","12.4%","±0.1","14.9%","±0.1","17.0%","±0.2","7.2%","±0.1","12.6%","±0.1","15.2%","±0.1","17.7%","±0.2","7.2%","±0.1"
"    $100,000 to $149,999","13.6%","±0.1","17.7%","±0.2","21.7%","±0.2","5.4%","±0.1","13.6%","±0.1","18.0%","±0.1","22.5%","±0.2","5.1%","±0.1"
"    $150,000 to $199,999","5.2%","±0.1","7.1%","±0.1","9.1%","±0.1","1.4%","±0.1","4.9%","±0.1","6.7%","±0.1","8.8%","±0.1","1.3%","±0.1"
"    $200,000 or more","4.8%","±0.1","6.6%","±0.1","8.5%","±0.1","1.4%","±0.1","4.5%","±0.1","6.2%","±0.1","8.2%","±0.1","1.3%","±0.1"
"Median income (dollars)","54,938","±166","69,691","±305","83,604","±274","32,341","±157","54,533","±167","69,837","±323","84,407","±277","31,989","±137"
"Mean income (dollars)","75,352","±257","90,116","±337","105,046","±356","45,891","±293","74,109","±268","89,168","±364","105,028","±406","45,022","±322"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","32.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","33.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","32.0%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","31.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.6%","(X)"
