"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Percent!!Estimate","Michigan!!Percent!!Margin of Error","Michigan!!Males!!Estimate","Michigan!!Males!!Margin of Error","Michigan!!Percent Males!!Estimate","Michigan!!Percent Males!!Margin of Error","Michigan!!Females!!Estimate","Michigan!!Females!!Margin of Error","Michigan!!Percent Females!!Estimate","Michigan!!Percent Females!!Margin of Error","Ohio!!Total!!Estimate","Ohio!!Total!!Margin of Error","Ohio!!Percent!!Estimate","Ohio!!Percent!!Margin of Error","Ohio!!Males!!Estimate","Ohio!!Males!!Margin of Error","Ohio!!Percent Males!!Estimate","Ohio!!Percent Males!!Margin of Error","Ohio!!Females!!Estimate","Ohio!!Females!!Margin of Error","Ohio!!Percent Females!!Estimate","Ohio!!Percent Females!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"Population 18 to 24 years","998,253","±893","(X)","(X)","508,207","±758","(X)","(X)","490,046","±545","(X)","(X)","1,102,450","±968","(X)","(X)","559,031","±776","(X)","(X)","543,419","±624","(X)","(X)"
"    Less than high school graduate","137,223","±2,205","13.7%","±0.2","82,061","±1,598","16.1%","±0.3","55,162","±1,385","11.3%","±0.3","157,687","±2,745","14.3%","±0.2","89,882","±2,071","16.1%","±0.4","67,805","±1,613","12.5%","±0.3"
"    High school graduate (includes equivalency)","280,324","±3,027","28.1%","±0.3","155,412","±2,243","30.6%","±0.4","124,912","±2,227","25.5%","±0.4","342,726","±3,917","31.1%","±0.4","191,762","±2,992","34.3%","±0.5","150,964","±2,651","27.8%","±0.5"
"    Some college or associate's degree","489,074","±3,953","49.0%","±0.4","231,439","±2,574","45.5%","±0.5","257,635","±2,696","52.6%","±0.6","498,495","±4,309","45.2%","±0.4","234,980","±2,802","42.0%","±0.5","263,515","±2,780","48.5%","±0.5"
"    Bachelor's degree or higher","91,632","±2,330","9.2%","±0.2","39,295","±1,345","7.7%","±0.3","52,337","±1,610","10.7%","±0.3","103,542","±2,562","9.4%","±0.2","42,407","±1,586","7.6%","±0.3","61,135","±1,883","11.3%","±0.3"
"Population 25 years and over","6,652,665","±1,005","(X)","(X)","3,202,264","±849","(X)","(X)","3,450,401","±654","(X)","(X)","7,817,508","±1,190","(X)","(X)","3,744,921","±957","(X)","(X)","4,072,587","±863","(X)","(X)"
"    Less than 9th grade","213,245","±3,178","3.2%","±0.1","107,033","±1,999","3.3%","±0.1","106,212","±2,151","3.1%","±0.1","241,071","±3,436","3.1%","±0.1","121,474","±2,124","3.2%","±0.1","119,597","±2,108","2.9%","±0.1"
"    9th to 12th grade, no diploma","480,212","±4,808","7.2%","±0.1","250,188","±2,908","7.8%","±0.1","230,024","±2,923","6.7%","±0.1","608,526","±5,456","7.8%","±0.1","304,314","±3,325","8.1%","±0.1","304,212","±3,945","7.5%","±0.1"
"    High school graduate (includes equivalency)","1,988,382","±9,231","29.9%","±0.1","974,381","±5,409","30.4%","±0.2","1,014,001","±5,510","29.4%","±0.2","2,669,316","±12,185","34.1%","±0.2","1,305,754","±7,267","34.9%","±0.2","1,363,562","±7,791","33.5%","±0.2"
"    Some college, no degree","1,583,736","±6,560","23.8%","±0.1","759,094","±4,831","23.7%","±0.2","824,642","±4,613","23.9%","±0.1","1,615,405","±8,003","20.7%","±0.1","771,374","±5,724","20.6%","±0.2","844,031","±5,200","20.7%","±0.1"
"    Associate's degree","595,198","±4,571","8.9%","±0.1","247,759","±2,608","7.7%","±0.1","347,439","±3,315","10.1%","±0.1","643,162","±5,623","8.2%","±0.1","256,858","±3,326","6.9%","±0.1","386,304","±4,359","9.5%","±0.1"
"    Bachelor's degree","1,094,936","±6,542","16.5%","±0.1","523,862","±4,104","16.4%","±0.1","571,074","±4,469","16.6%","±0.1","1,278,763","±9,640","16.4%","±0.1","616,700","±5,051","16.5%","±0.1","662,063","±5,701","16.3%","±0.1"
"    Graduate or professional degree","696,956","±6,211","10.5%","±0.1","339,947","±3,468","10.6%","±0.1","357,009","±4,073","10.3%","±0.1","761,265","±7,927","9.7%","±0.1","368,447","±3,898","9.8%","±0.1","392,818","±4,981","9.6%","±0.1"
"Percent high school graduate or higher","(X)","(X)","89.6%","±0.1","(X)","(X)","88.8%","±0.1","(X)","(X)","90.3%","±0.1","(X)","(X)","89.1%","±0.1","(X)","(X)","88.6%","±0.1","(X)","(X)","89.6%","±0.1"
"Percent bachelor's degree or higher","(X)","(X)","26.9%","±0.2","(X)","(X)","27.0%","±0.2","(X)","(X)","26.9%","±0.2","(X)","(X)","26.1%","±0.2","(X)","(X)","26.3%","±0.2","(X)","(X)","25.9%","±0.2"
"Population 25 to 34 years","1,190,702","±890","(X)","(X)","596,386","±734","(X)","(X)","594,316","±575","(X)","(X)","1,453,253","±1,168","(X)","(X)","726,403","±897","(X)","(X)","726,850","±755","(X)","(X)"
"    High school graduate or higher","1,079,905","±2,717","90.7%","±0.2","533,807","±1,802","89.5%","±0.3","546,098","±1,507","91.9%","±0.2","1,320,977","±2,717","90.9%","±0.2","652,212","±1,966","89.8%","±0.3","668,765","±1,843","92.0%","±0.2"
"    Bachelor's degree or higher","364,637","±3,835","30.6%","±0.3","163,077","±2,447","27.3%","±0.4","201,560","±2,465","33.9%","±0.4","458,501","±5,371","31.5%","±0.4","204,708","±3,002","28.2%","±0.4","253,793","±3,232","34.9%","±0.4"
"Population 35 to 44 years","1,206,918","±939","(X)","(X)","598,469","±730","(X)","(X)","608,449","±541","(X)","(X)","1,422,737","±1,186","(X)","(X)","706,851","±779","(X)","(X)","715,886","±823","(X)","(X)"
"    High school graduate or higher","1,102,550","±2,029","91.4%","±0.2","539,815","±1,511","90.2%","±0.2","562,735","±1,290","92.5%","±0.2","1,304,513","±2,894","91.7%","±0.2","638,573","±2,020","90.3%","±0.3","665,940","±1,790","93.0%","±0.2"
"    Bachelor's degree or higher","382,626","±4,366","31.7%","±0.4","173,162","±2,396","28.9%","±0.4","209,464","±2,639","34.4%","±0.4","438,987","±4,860","30.9%","±0.3","199,952","±2,812","28.3%","±0.4","239,035","±2,984","33.4%","±0.4"
"Population 45 to 64 years","2,772,180","±877","(X)","(X)","1,356,589","±674","(X)","(X)","1,415,591","±619","(X)","(X)","3,194,237","±1,311","(X)","(X)","1,559,579","±929","(X)","(X)","1,634,658","±820","(X)","(X)"
"    High school graduate or higher","2,536,219","±3,043","91.5%","±0.1","1,226,876","±2,129","90.4%","±0.2","1,309,343","±1,814","92.5%","±0.1","2,906,440","±4,102","91.0%","±0.1","1,409,046","±2,512","90.3%","±0.2","1,497,394","±2,574","91.6%","±0.1"
"    Bachelor's degree or higher","728,990","±4,306","26.3%","±0.2","356,811","±2,994","26.3%","±0.2","372,179","±2,622","26.3%","±0.2","810,208","±5,818","25.4%","±0.2","399,897","±3,587","25.6%","±0.2","410,311","±3,708","25.1%","±0.2"
"Population 65 years and over","1,482,865","±421","(X)","(X)","650,820","±283","(X)","(X)","832,045","±321","(X)","(X)","1,747,281","±686","(X)","(X)","752,088","±489","(X)","(X)","995,193","±482","(X)","(X)"
"    High school graduate or higher","1,240,534","±2,613","83.7%","±0.2","544,545","±1,587","83.7%","±0.2","695,989","±1,717","83.6%","±0.2","1,435,981","±3,615","82.2%","±0.2","619,302","±2,234","82.3%","±0.3","816,679","±2,303","82.1%","±0.2"
"    Bachelor's degree or higher","315,639","±2,473","21.3%","±0.2","170,759","±1,579","26.2%","±0.2","144,880","±1,828","17.4%","±0.2","332,332","±3,219","19.0%","±0.2","180,590","±1,749","24.0%","±0.2","151,742","±2,533","15.2%","±0.3"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","5,445,351","±1,825","(X)","(X)","2,644,555","±1,132","(X)","(X)","2,800,796","±1,147","(X)","(X)","6,643,802","±1,964","(X)","(X)","3,198,330","±1,329","(X)","(X)","3,445,472","±1,112","(X)","(X)"
"        High school graduate or higher","4,946,589","±5,351","90.8%","±0.1","2,385,653","±3,022","90.2%","±0.1","2,560,936","±3,398","91.4%","±0.1","5,987,412","±6,805","90.1%","±0.1","2,867,442","±3,812","89.7%","±0.1","3,119,970","±4,398","90.6%","±0.1"
"        Bachelor's degree or higher","1,507,669","±8,999","27.7%","±0.2","739,511","±5,030","28.0%","±0.2","768,158","±5,285","27.4%","±0.2","1,782,387","±12,535","26.8%","±0.2","868,831","±6,555","27.2%","±0.2","913,556","±7,073","26.5%","±0.2"
"White alone, not Hispanic or Latino","5,290,176","±649","(X)","(X)","2,566,737","±413","(X)","(X)","2,723,439","±382","(X)","(X)","6,516,074","±644","(X)","(X)","3,133,948","±441","(X)","(X)","3,382,126","±462","(X)","(X)"
"    High school graduate or higher","4,834,702","±4,808","91.4%","±0.1","2,331,007","±2,754","90.8%","±0.1","2,503,695","±3,026","91.9%","±0.1","5,891,950","±6,161","90.4%","±0.1","2,820,983","±3,459","90.0%","±0.1","3,070,967","±4,035","90.8%","±0.1"
"    Bachelor's degree or higher","1,479,251","±8,683","28.0%","±0.2","726,242","±4,900","28.3%","±0.2","753,009","±5,027","27.6%","±0.2","1,757,310","±12,210","27.0%","±0.2","857,172","±6,411","27.4%","±0.2","900,138","±6,893","26.6%","±0.2"
"Black alone","846,055","±1,488","(X)","(X)","383,733","±1,041","(X)","(X)","462,322","±930","(X)","(X)","862,310","±1,934","(X)","(X)","394,408","±1,377","(X)","(X)","467,902","±1,129","(X)","(X)"
"    High school graduate or higher","711,653","±2,716","84.1%","±0.3","314,174","±1,937","81.9%","±0.4","397,479","±1,664","86.0%","±0.3","719,760","±2,766","83.5%","±0.2","324,377","±1,944","82.2%","±0.4","395,383","±1,981","84.5%","±0.3"
"    Bachelor's degree or higher","141,369","±2,729","16.7%","±0.3","53,418","±1,648","13.9%","±0.4","87,951","±1,971","19.0%","±0.4","135,119","±2,806","15.7%","±0.3","54,620","±1,666","13.8%","±0.4","80,499","±2,084","17.2%","±0.4"
"American Indian or Alaska Native alone","34,272","±863","(X)","(X)","16,761","±532","(X)","(X)","17,511","±604","(X)","(X)","15,307","±844","(X)","(X)","7,757","±508","(X)","(X)","7,550","±502","(X)","(X)"
"    High school graduate or higher","29,178","±832","85.1%","±1.1","14,129","±490","84.3%","±1.3","15,049","±593","85.9%","±1.6","12,608","±750","82.4%","±1.8","6,255","±501","80.6%","±2.8","6,353","±458","84.1%","±2.6"
"    Bachelor's degree or higher","4,640","±419","13.5%","±1.2","2,112","±288","12.6%","±1.7","2,528","±281","14.4%","±1.5","2,198","±310","14.4%","±1.7","953","±169","12.3%","±2.1","1,245","±224","16.5%","±2.5"
