"Label (Grouping)","Michigan!!Households!!Estimate","Michigan!!Households!!Margin of Error","Michigan!!Families!!Estimate","Michigan!!Families!!Margin of Error","Michigan!!Married-couple families!!Estimate","Michigan!!Married-couple families!!Margin of Error","Michigan!!Nonfamily households!!Estimate","Michigan!!Nonfamily households!!Margin of Error","Ohio!!Households!!Estimate","Ohio!!Households!!Margin of Error","Ohio!!Families!!Estimate","Ohio!!Families!!Margin of Error","Ohio!!Married-couple families!!Estimate","Ohio!!Married-couple families!!Margin of Error","Ohio!!Nonfamily households!!Estimate","Ohio!!Nonfamily households!!Margin of Error"
"Total","3,888,646","±8,344","2,509,610","±7,907","1,846,259","±9,712","1,379,036","±5,244","4,633,145","±10,307","2,956,437","±9,368","2,150,233","±11,712","1,676,708","±6,653"
"    Less than $10,000","7.3%","±0.1","4.6%","±0.1","1.5%","±0.1","13.7%","±0.2","7.5%","±0.1","4.7%","±0.1","1.4%","±0.1","13.8%","±0.2"
"    $10,000 to $14,999","5.0%","±0.1","2.9%","±0.1","1.3%","±0.1","9.2%","±0.1","5.1%","±0.1","3.0%","±0.1","1.2%","±0.1","9.3%","±0.1"
"    $15,000 to $24,999","10.6%","±0.1","7.1%","±0.1","4.1%","±0.1","17.6%","±0.2","10.7%","±0.1","7.0%","±0.1","3.8%","±0.1","18.0%","±0.2"
"    $25,000 to $34,999","10.4%","±0.1","8.4%","±0.1","6.4%","±0.1","14.3%","±0.2","10.4%","±0.1","8.4%","±0.1","6.1%","±0.1","14.4%","±0.2"
"    $35,000 to $49,999","14.1%","±0.1","13.1%","±0.1","12.0%","±0.1","15.8%","±0.2","14.0%","±0.1","13.0%","±0.1","11.8%","±0.1","15.5%","±0.2"
"    $50,000 to $74,999","18.5%","±0.1","19.9%","±0.1","20.8%","±0.2","15.3%","±0.2","18.5%","±0.1","20.0%","±0.2","21.0%","±0.2","15.3%","±0.2"
"    $75,000 to $99,999","12.2%","±0.1","14.8%","±0.1","17.1%","±0.2","6.8%","±0.1","12.3%","±0.1","15.1%","±0.1","17.7%","±0.2","6.8%","±0.1"
"    $100,000 to $149,999","12.9%","±0.1","16.8%","±0.1","20.9%","±0.2","4.9%","±0.1","12.9%","±0.1","17.1%","±0.1","21.5%","±0.2","4.6%","±0.1"
"    $150,000 to $199,999","4.7%","±0.1","6.5%","±0.1","8.3%","±0.1","1.2%","±0.1","4.5%","±0.1","6.2%","±0.1","8.1%","±0.1","1.2%","±0.1"
"    $200,000 or more","4.3%","±0.1","5.8%","±0.1","7.6%","±0.1","1.2%","±0.1","4.0%","±0.1","5.6%","±0.1","7.3%","±0.1","1.1%","±0.1"
"Median income (dollars)","52,668","±180","66,653","±276","80,246","±260","31,333","±168","52,407","±153","66,885","±279","81,198","±283","30,986","±150"
"Mean income (dollars)","72,091","±232","86,137","±309","100,588","±356","43,847","±286","71,119","±216","85,559","±311","100,819","±326","42,939","±216"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","32.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","32.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.4%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","30.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.1%","(X)"
