"Label (Grouping)","Michigan!!Households!!Estimate","Michigan!!Households!!Margin of Error","Michigan!!Families!!Estimate","Michigan!!Families!!Margin of Error","Michigan!!Married-couple families!!Estimate","Michigan!!Married-couple families!!Margin of Error","Michigan!!Nonfamily households!!Estimate","Michigan!!Nonfamily households!!Margin of Error","Ohio!!Households!!Estimate","Ohio!!Households!!Margin of Error","Ohio!!Families!!Estimate","Ohio!!Families!!Margin of Error","Ohio!!Married-couple families!!Estimate","Ohio!!Married-couple families!!Margin of Error","Ohio!!Nonfamily households!!Estimate","Ohio!!Nonfamily households!!Margin of Error"
"Total","3,860,394","±7,938","2,498,193","±7,630","1,833,396","±9,760","1,362,201","±4,972","4,601,449","±10,577","2,940,153","±10,034","2,139,105","±12,586","1,661,296","±5,688"
"Less than $10,000","7.8%","±0.1","4.9%","±0.1","1.6%","±0.1","14.4%","±0.2","7.9%","±0.1","5.0%","±0.1","1.5%","±0.1","14.2%","±0.2"
"$10,000 to $14,999","5.3%","±0.1","3.2%","±0.1","1.4%","±0.1","9.7%","±0.1","5.4%","±0.1","3.1%","±0.1","1.3%","±0.1","9.9%","±0.1"
"$15,000 to $24,999","11.1%","±0.1","7.7%","±0.1","4.5%","±0.1","18.1%","±0.2","11.2%","±0.1","7.4%","±0.1","4.2%","±0.1","18.5%","±0.2"
"$25,000 to $34,999","10.7%","±0.1","8.8%","±0.1","6.9%","±0.1","14.5%","±0.2","10.7%","±0.1","8.6%","±0.1","6.6%","±0.1","14.6%","±0.2"
"$35,000 to $49,999","14.3%","±0.1","13.5%","±0.2","12.6%","±0.2","15.6%","±0.2","14.2%","±0.1","13.4%","±0.1","12.3%","±0.1","15.4%","±0.2"
"$50,000 to $74,999","18.5%","±0.1","20.1%","±0.1","21.3%","±0.2","14.8%","±0.2","18.5%","±0.1","20.3%","±0.1","21.6%","±0.2","14.8%","±0.2"
"$75,000 to $99,999","12.0%","±0.1","14.7%","±0.2","17.2%","±0.2","6.4%","±0.1","12.2%","±0.1","15.0%","±0.1","17.8%","±0.2","6.4%","±0.1"
"$100,000 to $149,999","12.2%","±0.1","16.1%","±0.1","20.1%","±0.1","4.5%","±0.1","12.2%","±0.1","16.2%","±0.1","20.6%","±0.2","4.2%","±0.1"
"$150,000 to $199,999","4.3%","±0.1","5.9%","±0.1","7.6%","±0.1","1.0%","±0.1","4.1%","±0.1","5.7%","±0.1","7.5%","±0.1","1.1%","±0.1"
"$200,000 or more","3.8%","±0.1","5.2%","±0.1","6.8%","±0.1","1.1%","±0.1","3.7%","±0.1","5.1%","±0.1","6.7%","±0.1","1.0%","±0.1"
"Median income (dollars)","50,803","±162","63,958","±250","77,110","±253","30,261","±145","50,674","±157","64,433","±289","78,321","±313","29,947","±178"
"Mean income (dollars)","68,928","±210","82,348","±295","96,369","±344","41,807","±284","68,341","±226","82,269","±343","97,066","±359","41,193","±235"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","31.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","31.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.1%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","29.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","27.8%","(X)"
